Video Filename,Servo1 Angle,Servo2 Angle,Servo3 Angle,Joint1 Position,Joint1 PositionX,Joint1 PositionY,Joint2 Position,Joint2 PositionX,Joint2 PositionY,Joint3 Position,Joint3 PositionX,Joint3 PositionY,EndEffector Position,Seg1 Curvature,Seg2 Curvature,Seg3 Curvature,SegLength,,
seg1_210_seg2_270_seg3_270.avi,210,270,270,"(8.55, -3.8)",8.55,-3.8,"(8.06, -14.21)",8.06,-14.21,"(10.02, -23.03)",10,-23.03,None,108.9632342,114.3771893,119.0131328,10,,-3.8
seg1_210_seg2_270_seg3_240.avi,210,270,240,"(8.43, -3.92)",8.43,-3.92,"(8.06, -14.09)",8.06,-14.09,"(9.4, -23.15)",#VALUE!,-23.15,None,109.0232113,114.3146615,#VALUE!,10,,
seg1_210_seg2_270_seg3_210.avi,210,270,210,"(8.43, -3.8)",8.43,-3.8,"(7.94, -14.46)",7.94,-14.46,None,#VALUE!,#VALUE!,None,108.9606921,114.5051764,#VALUE!,10,,
seg1_210_seg2_270_seg3_180.avi,210,270,180,"(8.55, -3.8)",8.55,-3.8,"(8.06, -14.33)",8.06,-14.33,None,#VALUE!,#VALUE!,None,108.9632342,114.4397172,#VALUE!,10,,
seg1_210_seg2_270_seg3_150.avi,210,270,150,"(8.43, -3.92)",8.43,-3.92,"(8.06, -14.33)",8.06,-14.33,None,#VALUE!,#VALUE!,None,109.0232113,114.4397172,#VALUE!,10,,
seg1_210_seg2_270_seg3_120.avi,210,270,120,"(8.31, -3.8)",8.31,-3.8,"(8.43, -14.58)",8.43,-14.58,"(5.13, -20.09)",5.13,-20.09,None,108.9581859,114.5772228,117.3963664,10,,
seg1_210_seg2_270_seg3_90.avi,210,270,90,"(8.55, -3.92)",8.55,-3.92,"(8.79, -14.46)",8.79,-14.46,None,#VALUE!,#VALUE!,None,109.0257519,114.5220575,#VALUE!,10,,
seg1_210_seg2_270_seg3_60.avi,210,270,60,"(8.31, -4.04)",8.31,-4.04,"(8.79, -14.58)",8.79,-14.58,None,#VALUE!,#VALUE!,None,109.0832273,114.5845775,#VALUE!,10,,
seg1_210_seg2_270_seg3_30.avi,210,270,30,"(8.43, -3.8)",8.43,-3.8,"(8.79, -14.46)",8.79,-14.46,None,#VALUE!,#VALUE!,None,108.9606921,114.5220575,#VALUE!,10,,
seg1_210_seg2_270_seg3_0.avi,210,270,0,"(8.43, -4.04)",8.43,-4.04,"(8.67, -14.7)",8.67,-14.7,None,#VALUE!,#VALUE!,None,109.0857306,114.6446132,#VALUE!,10,,
seg1_210_seg2_240_seg3_270.avi,210,240,270,"(8.43, -3.67)",8.43,-3.67,"(10.14, -14.33)",10,-14.33,"(15.76, -20.7)",15,-20.7,"(20.76, -22.05)",108.892963,114.4813279,117.9435676,10,,
seg1_210_seg2_240_seg3_240.avi,210,240,240,"(8.43, -3.8)",8.43,-3.8,"(10.14, -14.46)",10,-14.46,"(15.76, -21.07)",15,-21.07,"(20.52, -22.17)",,,,10,,
seg1_210_seg2_240_seg3_210.avi,210,240,210,"(8.43, -3.8)",8.43,-3.8,"(10.38, -14.21)",10,-14.21,"(14.53, -22.91)",14,-22.91,None,,,,10,,
seg1_210_seg2_240_seg3_180.avi,210,240,180,"(8.43, -3.92)",8.43,-3.92,"(10.38, -14.95)",10,-14.95,None,#VALUE!,#VALUE!,None,,,,10,,
