Video Filename,Servo1 Angle,Servo2 Angle,Servo3 Angle,Joint1 Position,Joint2 Position,Joint3 Position,EndEffector Position
seg1_210_seg2_270_seg3_270.avi,210,270,270,"(8.31, -3.06)","(7.08, -12.62)","(7.08, -20.95)","(10.14, -24.99)"
seg1_210_seg2_270_seg3_240.avi,210,270,240,"(8.31, -3.06)","(7.08, -12.62)","(6.72, -21.56)","(9.16, -25.48)"
seg1_210_seg2_270_seg3_210.avi,210,270,210,"(8.43, -2.82)","(6.96, -12.74)","(6.23, -21.44)","(7.94, -26.09)"
seg1_210_seg2_270_seg3_180.avi,210,270,180,"(8.55, -2.82)","(6.96, -12.74)","(3.18, -26.21)",None
seg1_210_seg2_270_seg3_150.avi,210,270,150,"(8.55, -2.82)","(7.45, -12.62)",None,None
seg1_210_seg2_270_seg3_120.avi,210,270,120,"(8.43, -2.82)","(7.45, -12.62)",None,None
seg1_210_seg2_270_seg3_90.avi,210,270,90,"(8.43, -2.69)","(7.82, -12.62)",None,None
seg1_210_seg2_270_seg3_60.avi,210,270,60,"(8.55, -2.82)","(7.94, -12.74)",None,None
seg1_210_seg2_270_seg3_30.avi,210,270,30,"(8.43, -3.06)","(9.04, -12.62)","(8.43, -13.35)",None
seg1_210_seg2_270_seg3_0.avi,210,270,0,"(8.43, -3.06)","(8.31, -13.23)",None,None
seg1_210_seg2_240_seg3_270.avi,210,240,270,"(8.18, -3.19)","(8.18, -13.6)","(11.97, -21.19)","(16.61, -23.27)"
seg1_210_seg2_240_seg3_240.avi,210,240,240,"(8.18, -3.19)","(8.18, -13.6)","(12.09, -21.44)","(16.49, -23.52)"
seg1_210_seg2_240_seg3_210.avi,210,240,210,"(8.31, -3.06)","(8.55, -13.35)","(10.5, -22.05)","(13.68, -25.97)"
seg1_210_seg2_240_seg3_180.avi,210,240,180,"(8.31, -3.19)","(8.55, -13.35)","(8.06, -22.91)",None
seg1_210_seg2_240_seg3_150.avi,210,240,150,"(8.31, -3.06)","(9.04, -13.35)","(4.03, -27.32)",None
seg1_210_seg2_240_seg3_120.avi,210,240,120,"(8.43, -3.31)","(9.4, -13.35)",None,None
seg1_210_seg2_240_seg3_90.avi,210,240,90,"(8.43, -2.94)","(9.89, -13.11)",None,None
seg1_210_seg2_240_seg3_60.avi,210,240,60,"(8.43, -3.06)","(10.38, -13.23)",None,None
seg1_210_seg2_240_seg3_30.avi,210,240,30,"(8.31, -3.19)","(10.14, -13.35)",None,None
seg1_210_seg2_240_seg3_0.avi,210,240,0,"(8.31, -3.19)","(9.65, -13.6)",None,None
seg1_210_seg2_210_seg3_270.avi,210,210,270,"(8.31, -3.19)","(10.38, -13.72)","(16.73, -19.23)","(21.74, -19.36)"
seg1_210_seg2_210_seg3_240.avi,210,210,240,"(8.18, -3.19)","(10.38, -13.72)","(16.73, -19.6)","(21.74, -20.58)"
seg1_210_seg2_210_seg3_210.avi,210,210,210,"(8.31, -3.31)","(10.38, -13.6)","(15.39, -21.19)","(19.54, -24.25)"
seg1_210_seg2_210_seg3_180.avi,210,210,180,"(8.31, -3.19)","(10.75, -13.72)","(13.56, -23.15)","(15.88, -27.2)"
seg1_210_seg2_210_seg3_150.avi,210,210,150,"(8.31, -3.43)","(10.87, -13.72)",None,None
seg1_210_seg2_210_seg3_120.avi,210,210,120,"(8.18, -3.43)","(11.11, -13.96)",None,None
seg1_210_seg2_210_seg3_90.avi,210,210,90,"(8.31, -3.43)","(11.36, -13.35)","(2.32, -25.11)",None
seg1_210_seg2_210_seg3_60.avi,210,210,60,"(8.31, -3.43)","(11.24, -13.47)",None,None
seg1_210_seg2_210_seg3_30.avi,210,210,30,"(8.43, -3.43)","(11.36, -13.47)",None,None
seg1_210_seg2_210_seg3_0.avi,210,210,0,"(8.43, -3.43)","(11.36, -13.35)",None,None
seg1_210_seg2_180_seg3_270.avi,210,180,270,"(8.06, -3.43)","(12.34, -13.47)","(20.52, -16.29)","(25.4, -14.82)"
seg1_210_seg2_180_seg3_240.avi,210,180,240,"(8.06, -3.55)","(12.46, -13.35)","(20.64, -16.54)","(25.65, -15.68)"
seg1_210_seg2_180_seg3_210.avi,210,180,210,"(8.06, -3.67)","(12.82, -12.98)","(20.4, -18.5)","(25.4, -19.72)"
seg1_210_seg2_180_seg3_180.avi,210,180,180,"(8.06, -3.55)","(13.07, -12.98)","(19.18, -20.95)","(22.47, -24.25)"
seg1_210_seg2_180_seg3_150.avi,210,180,150,"(8.43, -3.67)","(13.56, -12.86)","(17.59, -22.05)","(18.81, -26.58)"
seg1_210_seg2_180_seg3_120.avi,210,180,120,"(8.31, -3.43)","(13.8, -12.37)",None,None
seg1_210_seg2_180_seg3_90.avi,210,180,90,"(8.31, -3.31)","(13.92, -12.62)","(10.5, -26.7)",None
seg1_210_seg2_180_seg3_60.avi,210,180,60,"(8.31, -3.43)","(14.17, -12.37)","(7.82, -24.75)",None
